"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2017","20,033.43","20,025.63","20,044.01","19,946.51","1.20B","-0.92%"
"Jun 29, 2017","20,220.30","20,260.87","20,266.59","20,197.38","1.23B","0.45%"
"Jun 28, 2017","20,130.41","20,149.20","20,224.30","20,110.49","1.19B","-0.47%"
"Jun 27, 2017","20,225.09","20,229.12","20,250.10","20,185.19","930.62M","0.36%"
"Jun 26, 2017","20,153.35","20,132.81","20,196.38","20,119.04","793.88M","0.10%"
"Jun 23, 2017","20,132.67","20,152.58","20,152.58","20,089.54","829.78M","0.11%"
"Jun 22, 2017","20,110.51","20,154.38","20,191.42","20,107.89","872.10M","-0.14%"
"Jun 21, 2017","20,138.79","20,192.16","20,215.11","20,117.79","977.75M","-0.45%"
"Jun 20, 2017","20,230.41","20,234.12","20,318.11","20,227.29","1.02B","0.81%"
"Jun 19, 2017","20,067.75","19,974.30","20,087.71","19,949.88","822.32M","0.62%"
"Jun 16, 2017","19,943.26","19,931.15","20,015.16","19,884.80","1.40B","0.56%"
"Jun 15, 2017","19,831.82","19,815.54","19,963.36","19,755.34","1.10B","-0.26%"
"Jun 14, 2017","19,883.52","19,974.56","20,009.93","19,879.60","957.58M","-0.08%"
"Jun 13, 2017","19,898.75","19,859.81","19,929.03","19,850.86","1.00B","-0.05%"
"Jun 12, 2017","19,908.58","19,920.77","19,949.07","19,837.64","1.16B","-0.52%"
"Jun 09, 2017","20,013.26","19,953.06","20,096.01","19,927.07","1.50B","0.52%"
"Jun 08, 2017","19,909.26","20,048.28","20,061.22","19,896.35","1.29B","-0.38%"
"Jun 07, 2017","19,984.62","19,951.68","20,023.24","19,908.07","1.02B","0.02%"
"Jun 06, 2017","19,979.90","20,122.26","20,152.95","19,948.02","1.05B","-0.95%"
"Jun 05, 2017","20,170.82","20,135.42","20,224.54","20,104.13","1.02B","-0.03%"
"Jun 02, 2017","20,177.28","19,970.23","20,239.81","19,967.00","1.55B","1.60%"
"Jun 01, 2017","19,860.03","19,692.16","19,887.66","19,686.32","1.07B","1.07%"
"May 31, 2017","19,650.57","19,630.33","19,673.51","19,589.25","1.29B","-0.14%"
"May 30, 2017","19,677.85","19,681.11","19,691.44","19,570.13","748.02M","-0.02%"
"May 29, 2017","19,682.57","19,697.18","19,736.62","19,627.19","693.75M","-0.02%"
"May 26, 2017","19,686.84","19,798.49","19,801.59","19,686.49","870.74M","-0.64%"
"May 25, 2017","19,813.13","19,737.21","19,850.93","19,720.12","979.88M","0.36%"
"May 24, 2017","19,742.98","19,777.56","19,782.81","19,690.10","1.04B","0.66%"
"May 23, 2017","19,613.28","19,647.74","19,693.02","19,585.54","859.79M","-0.33%"
"May 22, 2017","19,678.28","19,670.48","19,722.93","19,618.73","808.62M","0.45%"
"May 19, 2017","19,590.76","19,591.41","19,628.64","19,497.29","1.19B","0.19%"
"May 18, 2017","19,553.86","19,556.99","19,601.53","19,449.73","1.40B","-1.32%"
"May 17, 2017","19,814.88","19,806.78","19,842.78","19,764.63","1.22B","-0.53%"
"May 16, 2017","19,919.82","19,953.06","19,998.49","19,862.41","1.35B","0.25%"
"May 15, 2017","19,869.85","19,753.46","19,869.85","19,740.63","1.32B","-0.07%"
"May 12, 2017","19,883.90","19,941.64","19,941.64","19,809.91","1.41B","-0.39%"
"May 11, 2017","19,961.55","19,943.95","19,989.94","19,906.35","1.41B","0.31%"
"May 10, 2017","19,900.09","19,890.56","19,938.53","19,866.30","1.33B","0.29%"
"May 09, 2017","19,843.00","19,915.64","19,917.45","19,838.71","1.27B","-0.26%"
"May 08, 2017","19,895.70","19,709.01","19,929.48","19,705.13","1.53B","2.31%"
"May 02, 2017","19,445.70","19,335.72","19,464.30","19,335.02","1.16B","0.70%"
"May 01, 2017","19,310.52","19,154.03","19,311.21","19,144.62","1.10B","0.59%"
"Apr 28, 2017","19,196.74","19,240.65","19,264.57","19,164.68","1.21B","-0.29%"
"Apr 27, 2017","19,251.87","19,205.59","19,281.70","19,199.59","1.20B","-0.19%"
"Apr 26, 2017","19,289.43","19,184.92","19,289.43","19,170.86","1.33B","1.10%"
"Apr 25, 2017","19,079.33","18,872.56","19,109.76","18,867.19","1.22B","1.08%"
"Apr 24, 2017","18,875.88","18,890.38","18,910.33","18,840.13","1.01B","1.37%"
"Apr 21, 2017","18,620.75","18,591.82","18,648.28","18,542.42","1.17B","1.03%"
"Apr 20, 2017","18,430.49","18,446.39","18,523.40","18,420.82","1.20B","-0.01%"
"Apr 19, 2017","18,432.20","18,327.33","18,467.73","18,327.33","1.25B","0.07%"
